medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
60E56A42585791D7B57C39FED868DF27,ABF17A399CDB4C42CAFB99C1AC7872CC,VTS,1,,2013-11-07 22:33:00,2013-11-07 22:36:00,1,180,.80,-73.930199,40.766987,-73.9394,40.76366
1F9E2C27335E24C6A72069A4A550E3D5,AB67835709BCCB0C98BA03166505E398,VTS,1,,2013-11-07 22:26:00,2013-11-07 22:31:00,1,300,1.10,-73.990494,40.723537,-74.004951,40.732586
98A86D1B747E1C2BFE87214929D866D4,D4622B78427BBBF04552BF22E4C14483,VTS,1,,2013-11-07 22:15:00,2013-11-07 22:24:00,1,540,1.38,-73.982315,40.772125,-73.993584,40.757168
0CEBE42EAF42C338052FAE8D61612C58,CC7A4176549BA819E07D4A0463F87D2E,VTS,1,,2013-11-07 22:43:00,2013-11-07 22:54:00,3,660,.93,-73.987549,40.738613,-73.989479,40.748299
DDFEA928995AB7F9E05FB054087A1BCA,D2E2D9B8D739A81CBDA41FB544724CE9,VTS,1,,2013-11-07 23:06:00,2013-11-07 23:23:00,1,1020,4.49,-73.958038,40.721813,-73.999825,40.734558
844C8184A5054E965F6A140707B3062A,B31108B69DCD274DE50CFCACE1FE5470,VTS,1,,2013-11-07 22:58:00,2013-11-07 23:25:00,1,1620,11.56,-73.862823,40.768814,-73.992447,40.737728
2A718BC691C5518EF562EC90A1571F59,6170BE229D5D22E14F9C55D3B3343F58,VTS,1,,2013-11-04 19:36:00,2013-11-04 19:39:00,2,180,.45,-74.000633,40.737137,-74.000633,40.737137
1A0B0E3A50ED7D37F0F07E5EDF95CB31,938EF5D4604A7AB7F6C113C9C26FEAEE,VTS,1,,2013-11-07 22:16:00,2013-11-07 22:35:00,1,1140,6.83,-73.977951,40.685127,-73.923401,40.743397
942EDD26C4E3337133058C095AD23289,7EB4ADB170F6990F16A1ADC1806EC2AE,VTS,1,,2013-11-04 20:28:00,2013-11-04 20:31:00,1,180,.81,-73.988098,40.723778,-73.977715,40.725918
03F2B14F5C52CC104530F0C895AA750C,0F3C5839D6E0E1440DC2198A3348E259,VTS,1,,2013-11-07 23:10:00,2013-11-07 23:13:00,2,180,.54,-73.98436,40.728855,-73.980316,40.734489
59CD993D8ECB22E1C9BD01A628777293,5FF02E4C5AC9350C1314D45BD1781895,VTS,1,,2013-11-04 21:20:00,2013-11-04 21:33:00,5,780,2.73,-73.972969,40.757809,-74.005707,40.745152
313E0A78E56BA09DB953EEAE2F0899B2,1D7007E7B40FD522DD27B78063642566,VTS,1,,2013-11-07 22:22:00,2013-11-07 22:54:00,1,1920,8.52,-73.873116,40.774124,-73.988998,40.751404
07D9B361B73F6880460BB19E4FC76E32,F2B7C691A3FEE0548DE9EF2A9294F312,VTS,1,,2013-11-07 23:53:00,2013-11-08 00:00:00,1,420,.97,-73.986107,40.720871,-73.994781,40.718658
23060A45FE9CFAB9F6F62198D214A1D8,498452F6B84AB88981D8BE43E0E0E6CA,VTS,1,,2013-11-07 22:51:00,2013-11-07 23:10:00,4,1140,3.74,-73.982277,40.763538,-73.992264,40.721184
07A7B36EF9CFC867CC3456F3C6E93560,1EAF142E54C2E0031738D8C478C713DA,CMT,1,N,2013-11-28 11:24:06,2013-11-28 11:40:05,4,958,2.60,-73.9823,40.751427,-73.978943,40.723965
D8A8284D6B64BE8265976677F865EF0C,0B8160F2AEFEC731C92FF4E6CAC015A1,VTS,1,,2013-11-04 21:56:00,2013-11-04 22:13:00,1,1020,2.69,-73.989807,40.757298,-73.982307,40.757061
11815B094F2F5B2399C3FB55263E5E00,C05B8D7C7495BA9FCE472F48F8605DEA,VTS,1,,2013-11-07 23:08:00,2013-11-07 23:19:00,4,660,1.81,-73.990486,40.766052,-73.984184,40.765785
